Random ID,first_term,first_term_num_courses,first_term_frac_1000lvl,inferred_major,terms_on_record,total_courses_on_record
309692,Fall 2021,6,0.5,ACCT,8,43
334779,Fall 2022,6,0.67,ACCT,7,39
327060,Fall 2022,6,0.5,ACCT,7,34
315411,Fall 2021,5,0.8,ACCT,8,41
303054,Fall 2021,6,0.5,ACCT,9,44
271426,Fall 2019,6,0.67,ANTH,12,72
311587,Fall 2021,5,1.0,ANTH,8,61
337533,Fall 2022,4,0.5,BA,7,21
315124,Fall 2021,6,0.83,BA,8,46
313141,Fall 2021,6,0.83,BA,8,44
302432,Fall 2021,6,0.67,BA,8,49
302295,Fall 2021,5,0.6,BA,8,41
298231,Fall 2020,5,0.8,BA,10,45
343196,Fall 2023,8,0.75,BA,4,31
296878,Fall 2020,6,1.0,BIOL,10,59
340826,Spring 2023,3,0.67,BIOL,5,21
312725,Fall 2021,6,1.0,BIOL,11,50
312657,Fall 2021,8,0.88,BIOL,8,46
315084,Fall 2021,6,1.0,BIOL,9,47
284456,Fall 2020,6,0.83,BIOL,12,66
336199,Fall 2022,4,0.75,BIOL,8,37
306571,Fall 2021,7,1.0,BIOL,8,46
324780,Fall 2022,5,0.8,BIOL,8,44
299500,Fall 2020,8,1.0,CAFS,10,47
316368,Fall 2021,5,0.8,CAFS,8,38
314911,Fall 2021,7,0.57,CMPS,8,56
289793,Fall 2020,7,0.57,CMPS,10,66
316234,Fall 2021,7,0.57,CMPS,9,60
305096,Fall 2021,7,0.71,CMPS,8,52
319176,Fall 2021,7,0.71,CMPS,8,60
314444,Fall 2021,5,0.6,CMPS,8,54
290949,Fall 2021,7,0.71,CMPS,8,60
333931,Fall 2022,7,0.57,CMPS,6,55
293831,Fall 2020,7,0.57,CMPS,10,67
294399,Fall 2020,6,0.83,CRJU,10,48
302667,Fall 2021,7,0.86,CRJU,8,44
302161,Fall 2021,9,0.89,CRJU,8,45
342628,Fall 2023,6,0.67,CRJU,5,23
315125,Fall 2021,5,0.8,CRJU,8,46
302305,Fall 2021,7,1.0,CRJU,8,44
315771,Fall 2021,5,0.8,CRJU,9,37
246916,Fall 2018,8,0.75,ECE,13,68
298765,Fall 2020,6,0.67,ECE,11,58
302722,Fall 2021,6,1.0,ECON,8,48
319810,Spring 2022,6,0.67,ECON,7,44
316213,Fall 2021,5,0.6,EDEL,8,55
334847,Fall 2022,6,0.83,EDTE,6,40
314329,Fall 2021,6,0.67,EDTE,8,52
338746,Fall 2022,7,1.0,EDTE,6,38
302114,Fall 2021,7,0.86,EDTE,8,43
316260,Fall 2021,7,0.57,EDTE,8,47
266054,Fall 2019,5,0.6,ENGR,12,37
314849,Fall 2021,6,0.83,KINE,9,59
315203,Fall 2021,7,0.86,KINE,8,53
339794,Fall 2022,7,0.71,KINE,6,46
319595,Fall 2021,7,0.86,KINE,8,55
287296,Fall 2020,7,0.86,KINE,10,65
304852,Fall 2021,7,0.86,KINE,8,59
302417,Fall 2021,8,0.88,KINE,8,57
304856,Fall 2021,6,0.83,KINE,8,58
306053,Fall 2021,7,0.86,KINE,8,57
307003,Fall 2021,7,0.86,KINE,8,57
205827,Fall 2016,6,0.67,KINE,9,55
341239,Spring 2023,4,0.75,LBST,7,27
308119,Fall 2021,6,0.83,MGMT,8,47
341776,Spring 2023,6,0.67,MGMT,5,30
317461,Fall 2021,6,0.83,MGMT,8,43
319609,Fall 2021,4,1.0,MGMT,8,37
302280,Fall 2021,7,0.86,MGMT,9,47
321637,Fall 2022,5,0.6,MGMT,8,38
302243,Fall 2021,6,1.0,MKTG,8,41
308547,Fall 2021,6,1.0,PSYC,8,40
294357,Fall 2020,7,1.0,PSYC,10,44
301030,Spring 2021,2,0.5,PSYC,9,24
302194,Fall 2021,6,0.67,PSYC,8,46
311585,Fall 2021,6,1.0,PSYC,9,39
302438,Fall 2021,6,0.67,PSYC,8,37
302675,Fall 2021,5,0.8,PSYC,10,46
325099,Fall 2022,5,1.0,PSYC,6,31
272344,Fall 2019,7,0.71,PSYC,8,41
284397,Fall 2020,8,0.88,PSYC,10,45
290720,Fall 2020,5,0.8,PSYC,10,51
313395,Fall 2021,7,0.71,PSYC,9,38
311523,Fall 2021,6,0.83,PSYC,8,48
304919,Fall 2021,8,1.0,PSYC,8,39
309498,Fall 2021,6,1.0,PSYC,8,43
306613,Fall 2021,6,0.83,PSYC,8,43
309232,Fall 2021,6,0.83,PSYC,8,44
317135,Fall 2021,6,0.83,SOC,8,45
331761,Spring 2023,4,0.5,SOC,5,22
311877,Fall 2021,5,0.8,SOC,8,37
